DamID,Lepto,BrucellaLFA,BrucellaRBG,GirthDam,CSDam,SL,East,North,Elevat,CalfSex,DAge,DCalving,TDFarm,DAge2
DM010120001,1,0,0,140,7,1,34.4733,0.63676,1446,2,-888,1,12,6
DM010120002,0,0,0,144,7,1,34.45838,0.62735,1360,1,-888,1,48,6
DM010120004,0,0,0,151.5,6.5,1,34.45139,0.63389,1349,2,-888,1,18,3
DM010120005,0,0,0,147,5,1,34.45713,0.63296,1379,2,-888,-888,24,7
DM010120006,0,0,0,141.5,6,1,34.45403,0.62313,1344,2,-888,4,72,9
DM010120007,0,0,0,141.5,7,1,34.45609,0.62784,1363,2,8,5,12,8
DM010120008,0,0,0,144,6,1,34.45662,0.63879,1372,1,7,3,12,7
DM010120009,0,0,0,142,6,1,34.44945,0.62577,1335,2,5.5,3,12,5.5
DM010120010,0,0,0,143.5,5,1,34.44908,0.61,1321,1,8,4,12,8
DM010120011,0,0,0,139,7,1,34.46866,0.63976,1410,2,7,3,48,7
DM010120012,0,0,1,140,6,1,34.4525,0.6235,1340,1,8,3,96,8
DM010120013,0,0,0,145,6.5,1,34.45452,0.60744,1306,2,-888,8,108,8
DM010120014,1,0,0,128,4,1,34.47156,0.62968,1438,2,4,1,48,4
DM010120015,0,0,0,139,5.5,1,34.45921,0.63029,1377,1,5,3,60,5
DM010120016,0,0,0,140,6.5,1,34.46417,0.61716,1354,2,-888,4,60,12
DM010120017,0,0,0,147.5,7,1,34.45427,0.63007,1362,1,10,8,120,10
DM010120018,0,0,0,157.5,7,1,3.446714,0.61699,1357,2,-888,3,72,8
DM010120019,0,0,0,149.5,6,1,34.47369,0.63894,1416,1,-888,3,51,3
DM010120020,1,0,0,134,4,1,34.45054,0.6171,1348,1,-888,5,-888,7
DM010120021,1,0,0,149,7,1,34.46419,0.63934,1378,1,9,7,108,9
DM010120022,0,0,0,159,7.5,1,34.45416,0.63238,1362,2,10,6,72,10
DM010120023,0,0,0,148,4,1,34.45495,0.61574,1319,2,-888,5,-888,4
DM010120024,0,0,0,147,7,1,34.44677,0.60705,1284,1,-888,2,36,3
DM010120025,0,0,0,129,4,1,34.47031,0.60881,1328,2,-888,1,-888,10
DM010120026,0,0,0,180,8,1,34.45005,0.62183,1334,1,-888,2,72,12
DM010120027,0,0,0,142,5.5,1,34.46302,0.63013,1376,2,4,1,48,4
DM010120028,0,0,0,150,5.5,1,34.46028,0.61182,1392,1,-888,8,-888,10
DM010120029,0,0,0,139,5,1,34.46996,0.61212,1337,1,-888,3,-888,4
DM010220031,0,0,0,136,4.5,2,34.31074,0.56576,1254,2,-888,1,48,10
DM010220032,0,0,1,171,8,2,34.29698,0.56931,1229,2,-888,1,14,12
DM010220033,0,0,0,147,7,2,34.30787,0.5637,1262,2,-888,1,13,11
DM010220034,0,0,0,143,5,2,34.3143,0.56653,1253,2,8,6,96,8
DM010220035,0,0,0,135,6,2,34.30648,0.56079,1261,2,-888,1,15,9
DM010220036,0,0,0,135,6,2,34.29809,0.55413,1239,2,-888,3,12,11
DM010220037,0,0,1,144,6,2,34.30386,0.56218,1257,2,11,5,17,11
DM010220038,0,0,0,132,4,2,34.30518,0.55728,1251,1,4,1,12,4
DM010220039,0,0,0,126,6,2,34.29861,0.56869,1230,1,2.5,1,12,2.5
DM010220041,0,0,0,140,5,2,34.31201,0.56029,1262,1,8,6,96,8
DM010220042,0,0,0,146,7,2,34.28722,0.56323,1262,2,3,1,36,3
DM010220043,0,0,0,138,5,2,34.30559,0.55425,1244,1,6,2,78,6
DM010220044,0,0,0,133,4,2,34.31264,0.56332,1260,1,-888,1,36,4
DM010220045,0,0,0,140,5,2,34.29651,0.57188,1227,2,-888,1,24,9
DM010220046,0,0,0,139,6,2,34.31378,0.5649,1239,2,-888,3,-888,11
